#EXPORTTYPE:DATA ALL
#FILE:60CP60012CoPU10GPM-1C.ngb-ss4
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:60CP60012CoPU10GPM-1C
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DTA
#INSTRUMENT:NETZSCH STA 2500
#PROJECT:HÉCTOR ROMERO
#DATE/TIME:12.02.2020 11:51
#CORR. FILE:
#TEMPCAL:cal prueba.ngb-ts4
#SENSITIVITY:prueba cal sensibilidad.ngb-es4
#LABORATORY:ESIQIE
#OPERATOR:wendynoemi
#REMARK:
#SAMPLE:60CP60012CoPU10GPM-1C
#SAMPLE MASS /mg:4.998
#MATERIAL:ALUMINA
#REFERENCE:Crisol+Alumina
#REFERENCE MASS /mg:5.189
#TYPE OF CRUCIBLE:Al2O3 pan for STA2500
#SAMPLE CRUCIBLE MASS /mg:38.400
#REFERENCE CRUCIBLE MASS /mg:37.662
#TG RANGE /mg:500
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:20°C....700°C/-10.0....10.0K/min
#SEGMENT:S1-4/4
#SEG. 1:20°C/10.0(K/min)/150°C
#SEG. 2:150°C/00:30/150°C
#SEG. 3:150°C/10.0(K/min)/30°C
#SEG. 4:30°C/10.0(K/min)/700°C

##Temp./°C;Time/min;DTA/(mW/mg);Mass/%;Gas Flow(purge1)/(ml/min);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);DTG/(%/min);Sensit./(uV/mW);Segment
 23.87500;  0.00000; 5.91569;100.00000; 0.000000e+000;      75.00000;75.00000;      -0.58618;0.92539;1
 23.88100;  0.25000; 5.94088; 99.81681; 0.000000e+000;      75.00000;75.00000;      -0.38931;0.92539;1
 24.49600;  0.50000; 6.01043; 99.82873; 0.000000e+000;      75.00000;75.00000;      -0.65288;0.92609;1
 25.67800;  0.75000; 6.07159; 99.70924; 0.000000e+000;      75.00000;75.00000;       0.14392;0.92742;1
 27.44500;  1.00000; 6.08363; 99.66226; 0.000000e+000;      75.00000;75.00000;-3.191241e-002;0.92940;1
 29.58700;  1.25000; 6.07889; 99.65802; 0.000000e+000;      75.00000;75.00000;      -0.53325;0.93178;1
 32.01100;  1.50000; 6.07017; 99.62545; 0.000000e+000;      75.00000;75.00000;       0.37344;0.93445;1
 34.61000;  1.75000; 6.06565; 99.69492; 0.000000e+000;      75.00000;75.00000;       0.83749;0.93729;1
 37.33400;  2.00000; 6.06016; 99.72677; 0.000000e+000;      75.00000;75.00000;       0.45403;0.94023;1
 40.10900;  2.25000; 6.06945; 99.78167; 0.000000e+000;      75.00000;75.00000;       0.23098;0.94319;1
 42.87500;  2.50000; 6.08138; 99.78103; 0.000000e+000;      75.00000;75.00000;       0.15527;0.94611;1
 45.62000;  2.75000; 6.10069; 99.87779; 0.000000e+000;      75.00000;75.00000;       0.23626;0.94897;1
 48.33900;  3.00000; 6.12139; 99.77455; 0.000000e+000;      75.00000;75.00000;       0.20211;0.95177;1
